Date_reported,Country,WHO_region,New_cases,Cumulative_cases,Cumulative_cases,New_deaths,Cumulative_deaths
14-Feb-21,India,SEAR,12194,10904940,10904940,92,155642
15-Feb-21,India,SEAR,11649,10916589,10916589,90,155732
16-Feb-21,India,SEAR,9121,10925710,10925710,81,155813
17-Feb-21,India,SEAR,11610,10937320,10937320,100,155913
18-Feb-21,India,SEAR,12881,10950201,10950201,101,156014
19-Feb-21,India,SEAR,13193,10963394,10963394,97,156111
20-Feb-21,India,SEAR,13993,10977387,10977387,101,156212
21-Feb-21,India,SEAR,14264,10991651,10991651,90,156302
22-Feb-21,India,SEAR,14199,11005850,11005850,83,156385
23-Feb-21,India,SEAR,10584,11016434,11016434,78,156463
24-Feb-21,India,SEAR,13742,11030176,11030176,104,156567
25-Feb-21,India,SEAR,16738,11046914,11046914,138,156705
26-Feb-21,India,SEAR,16577,11063491,11063491,120,156825
27-Feb-21,India,SEAR,16488,11079979,11079979,113,156938
28-Feb-21,India,SEAR,16752,11096731,11096731,113,157051
01-Mar-21,India,SEAR,15510,11112241,11112241,106,157157
02-Mar-21,India,SEAR,12286,11124527,11124527,91,157248
03-Mar-21,India,SEAR,14989,11139516,11139516,98,157346
04-Mar-21,India,SEAR,17407,11156923,11156923,89,157435
05-Mar-21,India,SEAR,16838,11173761,11173761,113,157548
06-Mar-21,India,SEAR,18327,11192088,11192088,108,157656
07-Mar-21,India,SEAR,18711,11210799,11210799,100,157756
08-Mar-21,India,SEAR,18599,11229398,11229398,97,157853
09-Mar-21,India,SEAR,15388,11244786,11244786,77,157930
10-Mar-21,India,SEAR,17921,11262707,11262707,133,158063
11-Mar-21,India,SEAR,22854,11285561,11285561,126,158189
12-Mar-21,India,SEAR,23285,11308846,11308846,117,158306
13-Mar-21,India,SEAR,24882,11333728,11333728,140,158446
14-Mar-21,India,SEAR,25320,11359048,11359048,161,158607
15-Mar-21,India,SEAR,26291,11385339,11385339,118,158725
16-Mar-21,India,SEAR,24492,11409831,11409831,131,158856
17-Mar-21,India,SEAR,28903,11438734,11438734,188,159044
18-Mar-21,India,SEAR,35871,11474605,11474605,172,159216
19-Mar-21,India,SEAR,39726,11514331,11514331,154,159370
20-Mar-21,India,SEAR,40953,11555284,11555284,188,159558
21-Mar-21,India,SEAR,43846,11599130,11599130,197,159755
22-Mar-21,India,SEAR,46951,11646081,11646081,212,159967
23-Mar-21,India,SEAR,40715,11686796,11686796,199,160166
24-Mar-21,India,SEAR,47262,11734058,11734058,275,160441
25-Mar-21,India,SEAR,53476,11787534,11787534,251,160692
26-Mar-21,India,SEAR,59118,11846652,11846652,257,160949
27-Mar-21,India,SEAR,62258,11908910,11908910,291,161240
28-Mar-21,India,SEAR,62714,11971624,11971624,312,161552
29-Mar-21,India,SEAR,68020,12039644,12039644,291,161843
30-Mar-21,India,SEAR,56211,12095855,12095855,271,162114
31-Mar-21,India,SEAR,53480,12149335,12149335,354,162468
01-Apr-21,India,SEAR,72330,12221665,12221665,459,162927
02-Apr-21,India,SEAR,81466,12303131,12303131,469,163396
03-Apr-21,India,SEAR,89129,12392260,12392260,714,164110
04-Apr-21,India,SEAR,93249,12485509,12485509,513,164623
05-Apr-21,India,SEAR,103558,12589067,12589067,478,165101
06-Apr-21,India,SEAR,96982,12686049,12686049,446,165547
07-Apr-21,India,SEAR,115736,12801785,12801785,630,166177
08-Apr-21,India,SEAR,126789,12928574,12928574,685,166862
09-Apr-21,India,SEAR,131968,13060542,13060542,780,167642
10-Apr-21,India,SEAR,145384,13205926,13205926,794,168436
11-Apr-21,India,SEAR,152879,13358805,13358805,839,169275
12-Apr-21,India,SEAR,168912,13527717,13527717,904,170179
13-Apr-21,India,SEAR,161736,13689453,13689453,879,171058
14-Apr-21,India,SEAR,184372,13873825,13873825,1027,172085
15-Apr-21,India,SEAR,200739,14074564,14074564,1038,173123
16-Apr-21,India,SEAR,217353,14291917,14291917,1185,174308
17-Apr-21,India,SEAR,234692,14526609,14526609,1341,175649
18-Apr-21,India,SEAR,261500,14788109,14788109,1501,177150
19-Apr-21,India,SEAR,273810,15061919,15061919,1619,178769
20-Apr-21,India,SEAR,259170,15321089,15321089,1761,180530
21-Apr-21,India,SEAR,295041,15616130,15616130,2023,182553
22-Apr-21,India,SEAR,314835,15930965,15930965,2104,184657
23-Apr-21,India,SEAR,332730,16263695,16263695,2263,186920
24-Apr-21,India,SEAR,346786,16610481,16610481,2624,189544
25-Apr-21,India,SEAR,349691,16960172,16960172,2767,192311
26-Apr-21,India,SEAR,352991,17313163,17313163,2812,195123
27-Apr-21,India,SEAR,323144,17636307,17636307,2771,197894
28-Apr-21,India,SEAR,360960,17997267,17997267,3293,201187
29-Apr-21,India,SEAR,379257,18376524,18376524,3645,204832
30-Apr-21,India,SEAR,386452,18762976,18762976,3498,208330
01-May-21,India,SEAR,401993,19164969,19164969,3523,211853
02-May-21,India,SEAR,392488,19557457,19557457,3689,215542
03-May-21,India,SEAR,368147,19925604,19925604,3417,218959
04-May-21,India,SEAR,357229,20282833,20282833,3449,222408
05-May-21,India,SEAR,382315,20665148,20665148,3780,226188
06-May-21,India,SEAR,412262,21077410,21077410,3980,230168
07-May-21,India,SEAR,414188,21491598,21491598,3915,234083
08-May-21,India,SEAR,401078,21892676,21892676,4187,238270
09-May-21,India,SEAR,403738,22296414,22296414,4092,242362
10-May-21,India,SEAR,366161,22662575,22662575,3754,246116
11-May-21,India,SEAR,329942,22992517,22992517,3876,249992
12-May-21,India,SEAR,348421,23340938,23340938,4205,254197
13-May-21,India,SEAR,362727,23703665,23703665,4120,258317
14-May-21,India,SEAR,343144,24046809,24046809,4000,262317
15-May-21,India,SEAR,326098,24372907,24372907,3890,266207
16-May-21,India,SEAR,311170,24684077,24684077,4077,270284
17-May-21,India,SEAR,281386,24965463,24965463,4106,274390
18-May-21,India,SEAR,263533,25228996,25228996,4329,278719
19-May-21,India,SEAR,267334,25496330,25496330,4529,283248
20-May-21,India,SEAR,276110,25772440,25772440,3874,287122
21-May-21,India,SEAR,259551,26031991,26031991,4209,291331
22-May-21,India,SEAR,257299,26289290,26289290,4194,295525
23-May-21,India,SEAR,240842,26530132,26530132,3741,299266
24-May-21,India,SEAR,222315,26752447,26752447,4454,303720
25-May-21,India,SEAR,196427,26948874,26948874,3511,307231
26-May-21,India,SEAR,208921,27157795,27157795,4157,311388
27-May-21,India,SEAR,211298,27369093,27369093,3847,315235
28-May-21,India,SEAR,186364,27555457,27555457,3660,318895
29-May-21,India,SEAR,173790,27729247,27729247,3617,322512
30-May-21,India,SEAR,165553,27894800,27894800,3460,325972
31-May-21,India,SEAR,152734,28047534,28047534,3128,329100
01-Jun-21,India,SEAR,127510,28175044,28175044,2795,331895
02-Jun-21,India,SEAR,132788,28307832,28307832,3207,335102
03-Jun-21,India,SEAR,134154,28441986,28441986,2887,337989
04-Jun-21,India,SEAR,132364,28574350,28574350,2713,340702
05-Jun-21,India,SEAR,120529,28694879,28694879,3380,344082
06-Jun-21,India,SEAR,114460,28809339,28809339,2677,346759
07-Jun-21,India,SEAR,100636,28909975,28909975,2427,349186
08-Jun-21,India,SEAR,86498,28996473,28996473,2123,351309
09-Jun-21,India,SEAR,92596,29089069,29089069,2219,353528
10-Jun-21,India,SEAR,94052,29183121,29183121,6148,359676
11-Jun-21,India,SEAR,91702,29274823,29274823,3403,363079
12-Jun-21,India,SEAR,84332,29359155,29359155,4002,367081
13-Jun-21,India,SEAR,80834,29439989,29439989,3303,370384
14-Jun-21,India,SEAR,70421,29510410,29510410,3921,374305
15-Jun-21,India,SEAR,60471,29570881,29570881,2726,377031
16-Jun-21,India,SEAR,62224,29633105,29633105,2542,379573
17-Jun-21,India,SEAR,67208,29700313,29700313,2330,381903
18-Jun-21,India,SEAR,62480,29762793,29762793,1587,383490
19-Jun-21,India,SEAR,60753,29823546,29823546,1647,385137
20-Jun-21,India,SEAR,58419,29881965,29881965,1576,386713
21-Jun-21,India,SEAR,53256,29935221,29935221,1422,388135
22-Jun-21,India,SEAR,42640,29977861,29977861,1167,389302
23-Jun-21,India,SEAR,50848,30028709,30028709,1358,390660
24-Jun-21,India,SEAR,54069,30082778,30082778,1321,391981
25-Jun-21,India,SEAR,51667,30134445,30134445,1329,393310
26-Jun-21,India,SEAR,48698,30183143,30183143,1183,394493
27-Jun-21,India,SEAR,50040,30233183,30233183,1258,395751
28-Jun-21,India,SEAR,46148,30279331,30279331,979,396730
29-Jun-21,India,SEAR,37566,30316897,30316897,907,397637
30-Jun-21,India,SEAR,45951,30362848,30362848,817,398454
01-Jul-21,India,SEAR,48786,30411634,30411634,1005,399459
02-Jul-21,India,SEAR,46617,30458251,30458251,853,400312
03-Jul-21,India,SEAR,44111,30502362,30502362,738,401050
04-Jul-21,India,SEAR,43071,30545433,30545433,955,402005
05-Jul-21,India,SEAR,39796,30585229,30585229,723,402728
06-Jul-21,India,SEAR,34703,30619932,30619932,553,403281
07-Jul-21,India,SEAR,43733,30663665,30663665,930,404211
08-Jul-21,India,SEAR,45892,30709557,30709557,817,405028
09-Jul-21,India,SEAR,43393,30752950,30752950,911,405939
10-Jul-21,India,SEAR,42766,30795716,30795716,1206,407145
11-Jul-21,India,SEAR,41506,30837222,30837222,895,408040
12-Jul-21,India,SEAR,37154,30874376,30874376,724,408764
